day	hour	value
1	1	55
1	2	26
1	3	15
1	4	20
1	5	17
1	6	44
1	7	103
1	8	218
1	9	385
1	10	333
1	11	305
1	12	276
1	13	322
1	14	351
1	15	408
1	16	392
1	17	412
1	18	462
1	19	402
1	20	314
1	21	235
1	22	173
1	23	137
1	24	87
2	1	64
2	2	31
2	3	19
2	4	12
2	5	21
2	6	42
2	7	126
2	8	235
2	9	452
2	10	396
2	11	323
2	12	307
2	13	335
2	14	338
2	15	397
2	16	386
2	17	474
2	18	507
2	19	415
2	20	367
2	21	293
2	22	213
2	23	166
2	24	136
3	1	87
3	2	36
3	3	12
3	4	9
3	5	21
3	6	48
3	7	102
3	8	237
3	9	479
3	10	414
3	11	278
3	12	272
3	13	310
3	14	340
3	15	433
3	16	408
3	17	477
3	18	499
3	19	469
3	20	388
3	21	303
3	22	249
3	23	173
3	24	100
4	1	74
4	2	29
4	3	23
4	4	20
4	5	20
4	6	42
4	7	109
4	8	223
4	9	442
4	10	398
4	11	304
4	12	290
4	13	323
4	14	349
4	15	418
4	16	408
4	17	455
4	18	463
4	19	413
4	20	330
4	21	285
4	22	243
4	23	172
4	24	103
5	1	98
5	2	65
5	3	36
5	4	26
5	5	28
5	6	46
5	7	109
5	8	213
5	9	408
5	10	366
5	11	314
5	12	298
5	13	343
5	14	399
5	15	486
5	16	424
5	17	491
5	18	492
5	19	405
5	20	354
5	21	314
5	22	217
5	23	199
5	24	108
6	1	106
6	2	78
6	3	70
6	4	48
6	5	66
6	6	45
6	7	47
6	8	72
6	9	145
6	10	195
6	11	230
6	12	283
6	13	307
6	14	392
6	15	361
6	16	338
6	17	361
6	18	348
6	19	294
6	20	239
6	21	245
6	22	203
6	23	194
6	24	143
7	1	140
7	2	108
7	3	83
7	4	57
7	5	66
7	6	49
7	7	39
7	8	47
7	9	99
7	10	135
7	11	225
7	12	217
7	13	282
7	14	305
7	15	319
7	16	251
7	17	348
7	18	346
7	19	289
7	20	245
7	21	226
7	22	156
7	23	172
7	24	110
